path,doc_id,category,page_count,acroform_field_count,acroform_set_count,radio_field_count,avg_chars_per_page,has_vector_drawings,error,in_qc_list,targetable_for_visual
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.1027/MA.1027.R00.00.pdf,MA1027R0000,flattened,200,0,0,0,3172.64,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.1027/MA.1027.R00.01.pdf,MA1027R0001,flattened,248,0,0,0,2564.8387096774195,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.1028/MA.1028.R00.01.pdf,MA1028R0001,flattened,123,0,0,0,4515.195121951219,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.1028/MA.1028.R00.00.pdf,MA1028R0000,flattened,229,0,0,0,2652.2489082969432,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.1028/MA.1028.R00.02.pdf,MA1028R0002,flattened,128,0,0,0,4607.9453125,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.1028/MA.1028.R00.03.pdf,MA1028R0003,flattened,232,0,0,0,2685.1293103448274,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.0059/MA.0059.R05.00.pdf,MA0059R0500,flattened,196,0,0,0,1988.969387755102,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MA/MA.0059/MA.0059.R05.01.pdf,MA0059R0501,flattened,28,0,0,0,1875.142857142857,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AK/AK.0261/AK.0261.R04.02.pdf,AK0261R0402,flattened,165,0,0,0,2815.6848484848483,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AK/AK.0261/AK.0261.R04.00.pdf,AK0261R0400,flattened,169,0,0,0,2797.6923076923076,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/KY/KY Waiver Letter-Doc Aug 2014.pdf,,flattened,10,0,0,0,2919.2,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AL/AL.0068/AL.0068.R07.00.pdf,AL0068R0700,flattened,102,0,0,0,2489.8823529411766,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AL/AL.0068/AL.0068.91.R4.pdf,,flattened,132,0,0,0,1896.6515151515152,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AL/AL.0241/AL0241R0600.pdf,AL0241R0600,flattened,217,0,0,0,2233.304147465438,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AL/AL.0001/AL0001R0900.pdf,AL0001R0900,flattened,302,0,0,0,2270.8741721854303,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AL/AL.0391/AL0391R0400.pdf,AL0391R0400,flattened,299,0,0,0,2274.3110367892978,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NH/NH.0060/NH0060R0701.pdf,NH0060R0701,flattened,235,0,0,0,1983.0212765957447,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NH/NH.0060/NH.0060.R05.01.pdf,NH0060R0501,flattened,123,0,0,0,2791.60162601626,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NH/NH.0060/NH.0060.R06.01_Emailed.pdf,NH0060R0601,flattened,162,0,0,0,2585.0,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MN/MN.0166/MN0166R0701.pdf,MN0166R0701,flattened,436,0,0,0,2239.5550458715597,True,,False,True
